Rank,Country,Players,Points,Number,Games,Badges,XP,Hours
207,Cameroon,45,16284.97,31821,4475,827,297748,122675.2
208,Liberia,23,16226.41,25453,5329,1059,417473,89230.7
209,Ghana,40,15741.57,27973,8902,892,228182,107639.9
210,Samoa,29,15554.81,25292,5843,878,257333,72271.8
211,Northern Mariana Islands,36,15375.83,28139,5944,987,264071,96161.2
212,Solomon Islands,23,14795.76,25217,4539,1057,419060,68573.8
213,South Sudan,17,14061.36,23886,2979,489,175040,61388.6
214,Mayotte,32,13567.06,20889,3711,861,284662,65982.2
215,French Southern Territories,22,13481.36,21405,4043,698,205680,67427.8
216,Timor-Leste,20,13267.87,23012,6013,1034,278045,57969.9
217,Tonga,25,12961.89,23338,4440,596,207082,89393.2
218,Palau,24,12916.58,23024,4061,987,335407,131121.3
219,Equatorial Guinea,16,12914.96,19411,2626,1587,706212,49869.8
220,Guadeloupe,34,12752.52,23859,3197,532,173194,105274.8
221,Curacao,28,12370.79,23117,2968,810,262077,86431.5
222,Laos,37,11796.1,23930,4098,1510,681094,100241.9
223,Mauritius,28,11793.7,20634,2664,901,307522,76551.3
224,Tokelau,21,11593.55,20582,3759,705,221131,54099.2
225,Myanmar,70,11589.12,23838,3686,1409,563148,115611.8
226,Saint Barthelemy,21,10884.99,17619,2943,352,174606,53936.6
227,Sudan,22,10219.18,17712,5473,1652,814160,74025.2
228,Mali,26,9887.13,18712,3687,711,293119,84354.4
229,Gambia,22,9218.4,16899,2787,306,108693,49350.0
230,New Caledonia,22,9156.68,15965,3114,582,195463,64242.5
231,Sierra Leone,25,8797.51,15432,3868,606,197265,64237.5
232,Senegal,21,8706.51,14736,2963,535,166954,35082.8
233,Eritrea,17,8463.45,14111,1617,630,188734,40916.4
234,Sint Maarten (Dutch part),15,8296.6,15811,2264,278,183218,41333.5
235,Burundi,13,7990.78,13413,2253,438,220728,59847.2
236,Sao Tome & Principe,13,7823.16,11213,1112,276,96180,904521.6
237,Benin,12,7760.0,12485,7181,404,128667,44304.7
238,Suriname,19,7562.3,13906,1278,311,85348,64901.0
239,Grenada,22,7292.73,13765,1707,547,127745,67299.4
240,French Polynesia,14,7282.87,11816,3921,1059,245932,40659.3
241,Guyana,24,7140.82,12777,1847,279,76039,55594.6
242,Martinique,22,7084.13,12256,1905,807,277852,246360.0
243,Lesotho,11,6720.16,10461,1328,306,78684,75524.9
244,Guinea,15,6573.33,10092,2220,348,107999,45720.7
245,Guinea-Bissau,14,4595.87,8639,866,209,50044,25184.5
246,Comoros,10,4303.17,7430,4213,216,65765,55368.2
247,Malawi,8,3504.34,6295,1664,201,106549,17584.0
248,Mauritania,10,3231.5,5663,788,144,43292,24574.4
249,French Guiana,7,2587.67,5310,1100,81,16709,20665.0
250,Anguilla,14,2089.76,4749,626,116,21427,18169.2
251,"Moldova, Republic of",2,617.02,752,129,116,17486,1939.9
252,Yugoslavia,1,0.54,1,3,2,156,13.9
